sku,brand,function,price,descriptive_tokens
13708548,Nike Sportswear,Jacket,49.95,
13708548,Nike Sportswear,Jacket,49.95,
13708548,Nike Sportswear,Jacket,49.95,
13708548,Nike Sportswear,Jacket,49.95,
13699235,Nike Sportswear,Jacket,49.95,
13699235,Nike Sportswear,Jacket,49.95,
13699235,Nike Sportswear,Jacket,49.95,
13699235,Nike Sportswear,Jacket,49.95,
13699235,Nike Sportswear,Jacket,49.95,
13992764,Jordan,Set,26.47,
13992764,Jordan,Set,26.47,
13846840,Nike,Tracksuit,104.95,
13846840,Nike,Tracksuit,104.95,
13846840,Nike,Tracksuit,104.95,
13846840,Nike,Tracksuit,104.95,
13891203,Nike,Jacket,64.95,
13891203,Nike,Jacket,64.95,
13891203,Nike,Jacket,64.95,
13891203,Nike,Jacket,64.95,
13891203,Nike,Jacket,64.95,
13725720,Nike Sportswear,Jacket,49.95,
13725720,Nike Sportswear,Jacket,49.95,
13725720,Nike Sportswear,Jacket,49.95,
13922579,Nike,Jacket,64.95,
13922579,Nike,Jacket,64.95,
13922579,Nike,Jacket,64.95,
13922579,Nike,Jacket,64.95,
13308075,Nike,Jacket,64.95,
13308075,Nike,Jacket,64.95,
13308075,Nike,Jacket,64.95,
13308075,Nike,Jacket,64.95,
13922485,Nike,Jacket,54.95,
13922485,Nike,Jacket,54.95,
13922485,Nike,Jacket,54.95,
13922485,Nike,Jacket,54.95,
13922485,Nike,Jacket,54.95,
13912092,Nike,Hat,17.95,
13912092,Nike,Hat,17.95,
13912092,Nike,Hat,17.95,
13466050,Nike Sportswear,Hat,17.95,
13466050,Nike Sportswear,Hat,17.95,
13466050,Nike Sportswear,Hat,17.95,
12934337,Nike Sportswear,Hat,17.95,
12934337,Nike Sportswear,Hat,17.95,
12934337,Nike Sportswear,Hat,17.95,
12934241,Nike Sportswear,Hat,17.95,
12934241,Nike Sportswear,Hat,17.95,
12934241,Nike Sportswear,Hat,17.95,
12924543,Nike Sportswear,Beanie,16.95,
12924711,Nike Sportswear,Beanie,16.95,
12924688,Nike Sportswear,Beanie,16.95,
13694760,Nike,Cap,22.95,
13694242,Nike,Cap,22.95,
14061363,Nike Sportswear,Parka,69.97,
14061363,Nike Sportswear,Parka,69.97,
14061363,Nike Sportswear,Parka,69.97,
14061363,Nike Sportswear,Parka,69.97,
14061363,Nike Sportswear,Parka,69.97,
12907453,Jordan,Gymsack,22.95,
12701076,Jordan,Backpack,102.95,
13162099,Nike,Kit,37.47,
13162099,Nike,Kit,37.47,
13162099,Nike,Kit,37.47,
13162099,Nike,Kit,37.47,
13179558,Nike,Skirt,29.95,
13179558,Nike,Skirt,29.95,
13179558,Nike,Skirt,29.95,
13179558,Nike,Skirt,29.95,
13179558,Nike,Skirt,29.95,
14037739,Nike,Skirt,29.95,
14037739,Nike,Skirt,29.95,
14037739,Nike,Skirt,29.95,
14037739,Nike,Skirt,29.95,
14037739,Nike,Skirt,29.95,
13100693,Nike,Skirt,29.95,
13100693,Nike,Skirt,29.95,
13100693,Nike,Skirt,29.95,
13100693,Nike,Skirt,29.95,
13100693,Nike,Skirt,29.95,
13094040,Nike,Skirt,29.95,
13094040,Nike,Skirt,29.95,
13094040,Nike,Skirt,29.95,
13094040,Nike,Skirt,29.95,
13094040,Nike,Skirt,29.95,
14038113,Nike Sportswear,Dress,32.95,
14038113,Nike Sportswear,Dress,32.95,
14038113,Nike Sportswear,Dress,32.95,
14038113,Nike Sportswear,Dress,32.95,
14038113,Nike Sportswear,Dress,32.95,
13355822,Nike Sportswear,Dress,32.95,
13355822,Nike Sportswear,Dress,32.95,
13355822,Nike Sportswear,Dress,32.95,
13355822,Nike Sportswear,Dress,32.95,
13355822,Nike Sportswear,Dress,32.95,
12987908,Jordan,Skirt,31.95,
12987908,Jordan,Skirt,31.95,
12987908,Jordan,Skirt,31.95,
12987908,Jordan,Skirt,31.95,
12987908,Jordan,Skirt,31.95,
14037392,Nike Sportswear,Jacket,47.97,
14037392,Nike Sportswear,Jacket,47.97,
14037392,Nike Sportswear,Jacket,47.97,
14037392,Nike Sportswear,Jacket,47.97,
14037392,Nike Sportswear,Jacket,47.97,
14037393,Nike,Jacket,47.97,
14037393,Nike,Jacket,47.97,
14037393,Nike,Jacket,47.97,
14037393,Nike,Jacket,47.97,
14037393,Nike,Jacket,47.97,
13825189,Nike,Poncho,63.97,
13825189,Nike,Poncho,63.97,
13825189,Nike,Poncho,63.97,
13825189,Nike,Poncho,63.97,
13825189,Nike,Poncho,63.97,
13825109,Nike,Poncho,63.97,
13825109,Nike,Poncho,63.97,
13825109,Nike,Poncho,63.97,
13825109,Nike,Poncho,63.97,
13825109,Nike,Poncho,63.97,
13912016,Nike,Hat,17.95,
13912100,Nike,Hat,17.95,
13308567,Nike,Jacket,38.97,
13308567,Nike,Jacket,38.97,
13308567,Nike,Jacket,38.97,
13308567,Nike,Jacket,38.97,
13937947,Jordan,Dress,34.47,
13937947,Jordan,Dress,34.47,
13937947,Jordan,Dress,34.47,
13937947,Jordan,Dress,34.47,
13912092,Nike,Hat,17.95,
13912092,Nike,Hat,17.95,
13912092,Nike,Hat,17.95,
13466050,Nike Sportswear,Hat,17.95,
13466050,Nike Sportswear,Hat,17.95,
13466050,Nike Sportswear,Hat,17.95,
12934337,Nike Sportswear,Hat,17.95,
12934337,Nike Sportswear,Hat,17.95,
12934337,Nike Sportswear,Hat,17.95,
12934241,Nike Sportswear,Hat,17.95,
12934241,Nike Sportswear,Hat,17.95,
12934241,Nike Sportswear,Hat,17.95,
13919998,Nike,Dress,35.97,
13919998,Nike,Dress,35.97,
13919998,Nike,Dress,35.97,
13919998,Nike,Dress,35.97,
13919998,Nike,Dress,35.97,
13920195,Nike,Dress,35.97,
13920195,Nike,Dress,35.97,
13920195,Nike,Dress,35.97,
13920195,Nike,Dress,35.97,
13920195,Nike,Dress,35.97,
13919994,Nike,Dress,35.97,
13919994,Nike,Dress,35.97,
13919994,Nike,Dress,35.97,
13919994,Nike,Dress,35.97,
13919994,Nike,Dress,35.97,
13699344,Nike Sportswear,Skirt,35.97,
13699344,Nike Sportswear,Skirt,35.97,
13699344,Nike Sportswear,Skirt,35.97,
13699344,Nike Sportswear,Skirt,35.97,
13699344,Nike Sportswear,Skirt,35.97,
14078717,Nike,Bra,19.95,
14078717,Nike,Bra,19.95,
14078717,Nike,Bra,19.95,
14078717,Nike,Bra,19.95,
14078717,Nike,Bra,19.95,
14078736,Nike,Bra,19.95,
14078736,Nike,Bra,19.95,
14078736,Nike,Bra,19.95,
14078736,Nike,Bra,19.95,
14078736,Nike,Bra,19.95,
12933211,Nike,Bra,17.95,
12933211,Nike,Bra,17.95,
12933211,Nike,Bra,17.95,
12933211,Nike,Bra,17.95,
12933211,Nike,Bra,17.95,
13083630,Nike,Bra,17.95,
13083630,Nike,Bra,17.95,
13083630,Nike,Bra,17.95,
13083630,Nike,Bra,17.95,
13083629,Nike,Bra,17.95,
13083629,Nike,Bra,17.95,
13083629,Nike,Bra,17.95,
13083629,Nike,Bra,17.95,
13162883,Nike,Bra,16.95,
13162883,Nike,Bra,16.95,
13162883,Nike,Bra,16.95,
13162883,Nike,Bra,16.95,
14078468,Nike,Bra,17.95,
14078468,Nike,Bra,17.95,
14078468,Nike,Bra,17.95,
14078468,Nike,Bra,17.95,
14078468,Nike,Bra,17.95,
13698992,Nike,Bra,16.95,
13698992,Nike,Bra,16.95,
13698992,Nike,Bra,16.95,
13698992,Nike,Bra,16.95,
13698992,Nike,Bra,16.95,
12933293,Nike,Bra,17.95,
12933293,Nike,Bra,17.95,
12933293,Nike,Bra,17.95,
12933293,Nike,Bra,17.95,
12933293,Nike,Bra,17.95,
12835868,Nike,Jacket,45.47,
12835868,Nike,Jacket,45.47,
12835868,Nike,Jacket,45.47,
12835868,Nike,Jacket,45.47,
12835868,Nike,Jacket,45.47,
13929686,Nike,Bra,27.95,
13929686,Nike,Bra,27.95,
13929686,Nike,Bra,27.95,
13929686,Nike,Bra,27.95,
13929686,Nike,Bra,27.95,
13596716,Nike,Jacket,51.97,
13596716,Nike,Jacket,51.97,
13596716,Nike,Jacket,51.97,
13596716,Nike,Jacket,51.97,
13596716,Nike,Jacket,51.97,
14078783,Nike Sportswear,Jacket,62.97,
14078783,Nike Sportswear,Jacket,62.97,
14078783,Nike Sportswear,Jacket,62.97,
14078783,Nike Sportswear,Jacket,62.97,
14078783,Nike Sportswear,Jacket,62.97,
14041460,Nike Sportswear,Tracksuit,74.95,
14041460,Nike Sportswear,Tracksuit,74.95,
